Fédération;Discipline;Epreuve;NOM;Prénom;Sexe;MEDAILLE(S);Année;Olympique/paralympique
Athlétisme;Athlétisme;3000m steeple homme;MEKHISSI BENABBAD;Mahiedine;M;Argent;2012;Olympique
Athlétisme;Athlétisme;Saut à la perche homme;LAVILLENIE;Renaud;M;Or;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;YACOUBOU ;Isabelle ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;MIYEM ;Endéné ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;BEIKES ;Clémence ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;GRUDA ;Sandrine ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;LAWSON-WADE ;Edwige ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;DUMERC ;Céline ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;LEPRON ;Florence ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;GOMIS ;Emilie ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;LABORDE ;Marion ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;GODIN ;Elodie ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;NDONGUE ;Emmeline ;F;Argent;2012;Olympique
BASKET BALL;Basket-ball;Tournoi féminin;DIGBEU ;Jennifer ;F;Argent;2012;Olympique
Canoë-Kayak;Slalom;K1 femme;FER;Emilie;F;Or;2012;Olympique
Canoë-Kayak;Slalom;C1 homme;ESTANGUET;TONY;M;Or;2012;Olympique
Cyclisme;Cyclisme - cyclocross;Vitesse homme;BAUGÉ;Gregory;M;Argent;2012;Olympique
Cyclisme;Cyclisme - cyclocross;Vitesse par équipe homme;BAUGÉ;Gregory;M;Argent;2012;Olympique
Cyclisme;Cyclisme - cyclocross;Omnium homme;COQUARD;Bryan;M;Argent;2012;Olympique
Cyclisme;Cyclisme - cyclocross;Vitesse par équipe homme;D'ALMEIDA;Michael;M;Argent;2012;Olympique
Cyclisme;Cyclisme - cyclocross;Vitesse par équipe homme;SIREAU;Kevin;M;Argent;2012;Olympique
Cyclisme;Vélo tout terrain;Cross-country femme;BRESSET;Julie;F;Or;2012;Olympique
Gymnastique;Gymnastique artistique;Barres parralèles;SABOT;HAMILTON;M;Bronze;2012;Olympique
HAND BALL;Handball;Tournoi masculin;OMEYER;Thierry;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;KARABOUE;Daouda;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;BARACHET ;Xavier ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;FERNANDEZ ;Jérôme ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;NARCISSE ;Daniel ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;KARABATIC ;Nikola ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;GILLE ;Guillaume ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;ABALO ;Luc ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;JOLI ;Guillaume ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;GUIGOU ;Michaël ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;HONRUBIA ;Samuel ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;GILLE ;Bertrand ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;SORHAINDO ;Cédric ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;DINART ;Didier ;M;Or;2012;Olympique
HAND BALL;Handball;Tournoi masculin;ACCAMBRAY ;William ;M;Or;2012;Olympique
Handisport;;Skiff femme;BENOIT;Nathalie;F;Argent;2012;Paralympique
Handisport;;Deux de couple mixte TA;BOUGE;Perle;F;Argent;2012;Paralympique
Handisport;;Deux de couple mixte TA;TARDIEU;Stéphane;M;Argent;2012;Paralympique
Handisport;;200m femme T12;EL HANNOUNI;Assia;F;Or;2012;Paralympique
Handisport;;200m femme T12;Simounet;Gautier;M;Or;2012;Paralympique
Handisport;;400 m femme T12;EL HANNOUNI;Assia;F;Or;2012;Paralympique
Handisport;;100m femme T37;Françoie Elie;Mandy;F;Or;2012;Paralympique
Handisport;;100m femme T44;LE FUR;Marie-Amélie;F;Or;2012;Paralympique
