'Année','Athlète','Position','Age','Equipe','Matchs joués','%3Points','%2Points','Passes','Points'
1950,'Curly Armstrong','G-F',31,'FTW',63,'0','0.279',176,458
1950,'Cliff Barker','SG',29,'INO',49,'0','0.372',109,279
1950,'Leo Barnhorst','SF',25,'CHS',67,'0','0.349',140,438
1950,'Ed Bartels','F',24,'TOT',15,'0','0.256',20,63
1950,'Ed Bartels','F',24,'DNN',13,'0','0.256',20,59
1950,'Ed Bartels','F',24,'NYK',2,'0','0.25',0,4
1950,'Ralph Beard','G',22,'INO',60,'0','0.363',233,895
1950,'Gene Berce','G-F',23,'TRI',3,'0','0.313',2,10
1950,'Charlie Black','F-C',28,'TOT',65,'0','0.278',163,661
1950,'Charlie Black','F-C',28,'FTW',36,'0','0.287',75,382
1950,'Charlie Black','F-C',28,'AND',29,'0','0.267',88,279
1950,'Nelson Bobb','PG',25,'PHW',57,'0','0.323',46,242
1950,'Jake Bornheimer','F-C',22,'PHW',60,'0','0.289',40,254
1950,'Vince Boryla','SF',22,'NYK',59,'0','0.34',95,612
1950,'Don Boven','F-G',24,'WAT',62,'0','0.373',137,656
1950,'Harry Boykoff','C',27,'WAT',61,'0','0.413',149,779
1950,'Joe Bradley','G',21,'CHS',46,'0','0.269',36,87
1950,'Bob Brannum','PF',24,'SHE',59,'0','0.326',205,713
1950,'Carl Braun','G-F',22,'NYK',67,'0','0.364',247,1031
1950,'Frankie Brian','G',26,'AND',64,'0','0.318',189,1138
1950,'Price Brookfield','F-G',29,'ROC',7,'0','0.478',1,34
1950,'Bob Brown','F',26,'DNN',62,'0','0.361',101,724
1950,'Jim Browne','C',20,'DNN',31,'0','0.354',8,47
1950,'Walt Budko','PF',24,'BLB',66,'0','0.304',146,595
1950,'Jack Burmaster','G',23,'SHE',61,'0','0.333',179,598
1950,'Tommy Byrnes','F-G',26,'BLB',53,'0','0.302',88,327
1950,'Bill Calhoun','SG',22,'ROC',62,'0','0.377',115,560
1950,'Don Carlson','G-F',30,'MNL',57,'0','0.341',76,267
1950,'Bob Carpenter','F-C',32,'FTW',66,'0','0.344',92,614
1950,'Jake Carter','F-C',25,'TOT',24,'0','0.307',24,82
1950,'Jake Carter','F-C',25,'DNN',13,'0','0.289',16,44
1950,'Jake Carter','F-C',25,'AND',11,'0','0.333',8,38
1950,'Al Cervi*','PG',32,'SYR',56,'0','0.332',264,573
1950,'John Chaney','F-C',29,'TOT',16,'0','0.291',20,70
1950,'John Chaney','F-C',29,'TRI',6,'0','0.27',15,28
1950,'John Chaney','F-C',29,'SHE',10,'0','0.306',5,42
1950,'Leroy Chollet','F',24,'SYR',49,'0','0.341',37,157
1950,'Bill Closs','SF',28,'AND',64,'0','0.315',160,752
1950,'Paul Cloyd','G-F',29,'TOT',7,'0','0.269',2,19
1950,'Paul Cloyd','G-F',29,'BLB',3,'0','0.125',1,5
1950,'Paul Cloyd','G-F',29,'WAT',4,'0','0.333',1,14
1950,'Jack Coleman','PF',25,'ROC',68,'0','0.377',153,590
1950,'Bobby Cook','G-F',26,'SHE',51,'0','0.358',158,587
1950,'Ray Corley','G',22,'SYR',60,'0','0.316',109,309
1950,'Jack Cotton','F-C',25,'DNN',54,'0','0.292',65,276
1950,'Dillard Crocker','PF',25,'DNN',53,'0','0.292',85,723
1950,'Chink Crossin','G',26,'PHW',64,'0','0.322',148,449
1950,'Fran Curran','G',27,'ROC',66,'0','0.417',71,395
1950,'Jimmy Darden','G',27,'DNN',26,'0','0.321',67,211
1950,'Bob Davies*','PG',30,'ROC',64,'0','0.357',294,895
1950,'Hook Dillon','F',26,'WSC',22,'0','0.182',5,36
1950,'Earl Dodd','F',25,'DNN',9,'0','0.222',6,15
1950,'Joe Dolhon','G',22,'BLB',64,'0','0.312',155,443
1950,'Bob Doll','F-C',30,'BOS',47,'0','0.346',108,315
1950,'Harry Donovan','G',23,'NYK',45,'0','0.327',38,253
1950,'Andy Duncan','F-C',27,'ROC',67,'0','0.433',42,310
1950,'Dike Eddleman','SF',27,'TRI',64,'0','0.366',142,826
1950,'Gene Englund','F-C',32,'TOT',46,'0','0.38',41,360
1950,'Gene Englund','F-C',32,'BOS',24,'0','0.372',17,196
1950,'Gene Englund','F-C',32,'TRI',22,'0','0.389',24,164
1950,'Bob Evans','G',24,'INO',47,'0','0.28',55,142
1950,'Johnny Ezersky','F-G',27,'TOT',54,'0','0.294',86,413
1950,'Johnny Ezersky','F-G',27,'BLB',38,'0','0.305',64,306
1950,'Johnny Ezersky','F-G',27,'BOS',16,'0','0.265',22,107
1950,'Bob Feerick','F-G',30,'WSC',60,'0','0.344',127,483
1950,'George Feigenbaum','G',20,'BLB',12,'0','0.246',10,36
1950,'Arnie Ferrin','F-G',24,'MNL',63,'0','0.333',95,340
1950,'Jerry Fleishman','SG',27,'PHW',65,'0','0.289',118,297
1950,'Joe Fulks*','PF',28,'PHW',68,'0','0.278',56,965
1950,'Bill Gabor','SG',27,'SYR',56,'0','0.337',108,609
1950,'Elmer Gainer','F-C',31,'WAT',15,'0','0.257',7,24
1950,'Harry Gallatin*','F-C',22,'NYK',68,'0','0.396',56,803
1950,'Vern Gardner','SG',24,'PHW',63,'0','0.342',119,853
1950,'Frank Gates','G',29,'AND',64,'0','0.281',91,287
1950,'Dee Gibson','F-G',26,'TRI',44,'0','0.314',126,281
1950,'Hoot Gibson','F-C',28,'TOT',32,'0','0.344',37,176
1950,'Hoot Gibson','F-C',28,'BOS',2,'0','0.75',1,7
1950,'Hoot Gibson','F-C',28,'WAT',30,'0','0.335',36,169
1950,'Chuck Gilmur','F-C',27,'WSC',68,'0','0.335',108,418
1950,'Normie Glick','F',22,'MNL',1,'0',1,0,2
1950,'Paul Gordon','F',22,'BLB',4,'0',0,3,3
1950,'Joe Graboski','F-C',20,'CHS',57,'0','0.304',37,203
1950,'Bud Grant','F',22,'MNL',35,'0','0.365',19,91
1950,'Don Grate','F-G',26,'SHE',2,'0','0.167',3,4
1950,'Alex Groza','C',23,'INO',64,'0','0.478',162,1496
1950,'Al Guokas','F-G',24,'TOT',57,'0','0.311',95,214
1950,'Al Guokas','F-G',24,'DNN',41,'0','0.317',85,197
1950,'Al Guokas','F-G',24,'PHW',16,'0','0.25',10,17
1950,'Robert Hahn','C',24,'CHS',10,'0','0.308',1,10
1950,'Chick Halbert','C',30,'WSC',68,'0','0.38',89,328
1950,'Bruce Hale','G-F',31,'INO',64,'0','0.353',226,657
1950,'Dale Hamilton','G-F',30,'WAT',14,'0','0.242',17,25
1950,'Alex Hannum*','PF',26,'SYR',64,'0','0.363',129,482
1950,'John Hargis','G-F',29,'AND',60,'0','0.405',102,643
1950,'Bob Harris','F-C',22,'FTW',62,'0','0.361',129,476
1950,'Bob Harrison','G',22,'MNL',66,'0','0.359',131,300
1950,'Billy Hassett','G',28,'TOT',60,'0','0.278',137,272
1950,'Billy Hassett','G',28,'TRI',18,'0','0.293',68,161
1950,'Billy Hassett','G',28,'MNL',42,'0','0.262',69,111
1950,'Marshall Hawkins','F',25,'INO',39,'0','0.282',51,152
1950,'Bill Henry','C',25,'TOT',63,'0','0.32',48,296
1950,'Bill Henry','C',25,'FTW',44,'0','0.311',39,214
1950,'Bill Henry','C',25,'TRI',19,'0','0.348',9,82
1950,'Bill Herman','G',25,'DNN',13,'0','0.385',15,56
1950,'Kleggie Hermsen','C-F',26,'CHS',67,'0','0.319',98,545
1950,'Sonny Hertzberg','G',27,'BOS',68,'0','0.318',200,693
1950,'Paul Hoffman','G-F',24,'BLB',60,'0','0.341',161,866
1950,'Joe Holland','SF',24,'INO',64,'0','0.32',130,388
1950,'Red Holzman*','PG',29,'ROC',68,'0','0.33',200,556
1950,'Gene James','F',24,'NYK',29,'0','0.297',20,52
1950,'Howie Janotta','F',25,'BLB',9,'0','0.3',4,31
1950,'Tony Jaros','F-G',29,'MNL',61,'0','0.291',60,240
1950,'Buddy Jeannette*','G',32,'BLB',37,'0','0.284',93,193
1950,'Arnie Johnson','SF',29,'ROC',68,'0','0.396',141,498
1950,'Ralph Johnson','PG',28,'TOT',67,'0','0.312',171,590
1950,'Ralph Johnson','PG',28,'AND',35,'0','0.312',104,337
1950,'Ralph Johnson','PG',28,'FTW',32,'0','0.312',67,253
1950,'Wah Wah','PF',23,'INO',60,'0','0.374',194,751
1950,'Noble Jorgensen','C',24,'SHE',54,'0','0.353',90,704
1950,'George Kaftan','SF',21,'BOS',55,'0','0.372',145,534
1950,'Leo Katkaveck','G',26,'WSC',54,'0','0.306',68,236
1950,'Jack Kerris','PF',25,'TOT',68,'0','0.326',118,483
1950,'Jack Kerris','PF',25,'TRI',4,'0','0.308',8,26
1950,'Jack Kerris','PF',25,'FTW',64,'0','0.327',110,457
1950,'Bob Kinney','C-F',29,'BOS',60,'0','0.375',100,667
1950,'Walt Kirk','PG',25,'TOT',58,'0','0.269',103,349
1950,'Walt Kirk','PG',25,'AND',26,'0','0.248',43,119
1950,'Walt Kirk','PG',25,'TRI',32,'0','0.28',60,230
1950,'Leo Klier','F-G',26,'FTW',66,'0','0.304',121,455
1950,'Duane Klueh','G',24,'TOT',52,'0','0.384',91,475
1950,'Duane Klueh','G',24,'DNN',33,'0','0.364',63,331
1950,'Duane Klueh','G',24,'FTW',19,'0','0.438',28,144
1950,'Lee Knorek','C',28,'BLB',1,'0',0,0,0
1950,'Milo Komenich','F-C',29,'AND',64,'0','0.283',124,634
1950,'Leo Kubiak','G',22,'WAT',62,'0','0.326',201,710
1950,'Frank Kudelka','G-F',24,'CHS',65,'0','0.326',132,433
